Vaccine type,Town,Vaccine coverage
אבעבועות רוח-VAR,עין שריד,92%
אבעבועות רוח-VAR,נווה מיכאל,68%
אבעבועות רוח-VAR,נאות מרדכי,87%
אבעבועות רוח-VAR,מצדות יהודה,85%
אבעבועות רוח-VAR,מענית,72%
אבעבועות רוח-VAR,מח'ים קלנדיה,0%
אבעבועות רוח-VAR,לכיש,91%
אבעבועות רוח-VAR,כברי,75%
אבעבועות רוח-VAR,יסודות,89%
אבעבועות רוח-VAR,דליה,76%
אבעבועות רוח-VAR,בית נחמיה,91%
אבעבועות רוח-VAR,בית ינאי,67%
אבעבועות רוח-VAR,בית אלעזרי,90%
אבעבועות רוח-VAR,בורגתה,75%
אבעבועות רוח-VAR,בארי,88%
אבעבועות רוח-VAR,רמת השופט,83%
אבעבועות רוח-VAR,רינתיה,70%
אבעבועות רוח-VAR,צוריף,67%
אבעבועות רוח-VAR,עמיר,100%
אבעבועות רוח-VAR,עין זיוון,56%
אבעבועות רוח-VAR,עין השופט,70%
אבעבועות רוח-VAR,נתיב העשרה,82%
אבעבועות רוח-VAR,נגבה,57%
אבעבועות רוח-VAR,נבטים,77%
אבעבועות רוח-VAR,נאעורה,98%
אבעבועות רוח-VAR,מצובה,64%
אבעבועות רוח-VAR,מעונה,86%
אבעבועות רוח-VAR,מירב,71%
אבעבועות רוח-VAR,מבוא מודיעים,46%
אבעבועות רוח-VAR,יובלים,77%
אבעבועות רוח-VAR,חניתה,71%
אבעבועות רוח-VAR,בית חורון,85%
אבעבועות רוח-VAR,בית הגדי,62%
אבעבועות רוח-VAR,אלישיב,67%
אבעבועות רוח-VAR,אילון,76%
אבעבועות רוח-VAR,תנובות,84%
אבעבועות רוח-VAR,"תלמי ביל""ו",67%
אבעבועות רוח-VAR,שדה אילן,77%
אבעבועות רוח-VAR,שבי דרום,82%
אבעבועות רוח-VAR,רימונים,64%
אבעבועות רוח-VAR,צפרירים,56%
אבעבועות רוח-VAR,צלפון,85%
אבעבועות רוח-VAR,פלמחים,59%
אבעבועות רוח-VAR,עראמשה,88%
אבעבועות רוח-VAR,עמקה,69%
אבעבועות רוח-VAR,עין החורש,90%
אבעבועות רוח-VAR,כמאנה,97%
אבעבועות רוח-VAR,הר גילה,73%
אבעבועות רוח-VAR,בית שקמה,71%
אבעבועות רוח-VAR,תימורים,83%
אבעבועות רוח-VAR,עלמון,77%
אבעבועות רוח-VAR,סמר,50%
אבעבועות רוח-VAR,ניצני עוז,85%
אבעבועות רוח-VAR,משאבי שדה,91%
אבעבועות רוח-VAR,מסילת ציון,76%
אבעבועות רוח-VAR,מזור,56%
אבעבועות רוח-VAR,כפר ראש הנקרה,74%
אבעבועות רוח-VAR,כפר חנניה,96%
אבעבועות רוח-VAR,יד מרדכי,75%
אבעבועות רוח-VAR,יד השמונה,50%
אבעבועות רוח-VAR,גשר הזיו,79%
אבעבועות רוח-VAR,בקוע,70%
אבעבועות רוח-VAR,איתן,63%
אבעבועות רוח-VAR,אחיטוב,73%
אבעבועות רוח-VAR,אומץ,73%
אבעבועות רוח-VAR,אדורה,79%
אבעבועות רוח-VAR,שריד,92%
אבעבועות רוח-VAR,עטרת,77%
אבעבועות רוח-VAR,ניצן ב',59%
אבעבועות רוח-VAR,נחשולים,87%
אבעבועות רוח-VAR,משמר השבעה,76%
אבעבועות רוח-VAR,מרחביה (מושב),85%
אבעבועות רוח-VAR,מדרך עוז,65%
אבעבועות רוח-VAR,כרמי קטיף,76%
אבעבועות רוח-VAR,כרכום,64%
אבעבועות רוח-VAR,כפר קיש,75%
אבעבועות רוח-VAR,כפר גלעדי,20%
אבעבועות רוח-VAR,טל-אל,75%
אבעבועות רוח-VAR,חוסן,84%
אבעבועות רוח-VAR,גיניגר,57%
אבעבועות רוח-VAR,"גבעת כ""ח",59%
אבעבועות רוח-VAR,גאליה,88%
אבעבועות רוח-VAR,בני נעים,83%
אבעבועות רוח-VAR,בית עזרא,71%
אבעבועות רוח-VAR,אליאב,79%
אבעבועות רוח-VAR,תרום,52%
אבעבועות רוח-VAR,שוקדה,67%
אבעבועות רוח-VAR,שובל,86%
אבעבועות רוח-VAR,רומאנה,94%
אבעבועות רוח-VAR,קראות בני חסן,100%
אבעבועות רוח-VAR,קוואעין (שבט),84%
אבעבועות רוח-VAR,עין עירון,77%
אבעבועות רוח-VAR,נהורה,93%
אבעבועות רוח-VAR,משמרת,60%
אבעבועות רוח-VAR,משמר הירדן,68%
אבעבועות רוח-VAR,מצליח,88%
אבעבועות רוח-VAR,מסלול,79%
אבעבועות רוח-VAR,מזרע,71%
אבעבועות רוח-VAR,לימן,75%
אבעבועות רוח-VAR,כפר נטר,88%
אבעבועות רוח-VAR,כפר יהושע,77%
אבעבועות רוח-VAR,יד חנה,88%
אבעבועות רוח-VAR,חצרים,69%
אבעבועות רוח-VAR,חגור,79%
אבעבועות רוח-VAR,הוואשלה (שבט),96%
אבעבועות רוח-VAR,דן,72%
אבעבועות רוח-VAR,אמונים,88%
אבעבועות רוח-VAR,שדה יעקב,88%
אבעבועות רוח-VAR,צופית,80%
אבעבועות רוח-VAR,"פעמי תש""ז",73%
אבעבועות רוח-VAR,עלמה,85%
אבעבועות רוח-VAR,סנסנה,89%
אבעבועות רוח-VAR,נצר סרני,97%
אבעבועות רוח-VAR,מגדים,71%
אבעבועות רוח-VAR,כפר מסריק,88%
אבעבועות רוח-VAR,כפר החורש,87%
אבעבועות רוח-VAR,כפר האורנים,90%
אבעבועות רוח-VAR,יזרעאל,88%
אבעבועות רוח-VAR,חרב לאת,84%
אבעבועות רוח-VAR,הודייה,88%
אבעבועות רוח-VAR,גינוסר,77%
אבעבועות רוח-VAR,גבעתי,82%
אבעבועות רוח-VAR,בית העמק,82%
אבעבועות רוח-VAR,אודם,40%
אבעבועות רוח-VAR,תלמים,73%
אבעבועות רוח-VAR,רתמים,73%
אבעבועות רוח-VAR,צרעה,87%
אבעבועות רוח-VAR,צוחר,65%
אבעבועות רוח-VAR,פוריה - כפר עבודה,75%
אבעבועות רוח-VAR,עצמון שגב,94%
אבעבועות רוח-VAR,עין קנייא,94%
אבעבועות רוח-VAR,עין צורים,85%
אבעבועות רוח-VAR,סתריה,96%
אבעבועות רוח-VAR,ניר צבי,92%
אבעבועות רוח-VAR,נטף,85%
אבעבועות רוח-VAR,משמרות,100%
אבעבועות רוח-VAR,מעברות,83%
אבעבועות רוח-VAR,כפר יעבץ,78%
אבעבועות רוח-VAR,כפר בן נון,67%
אבעבועות רוח-VAR,"כפר ביל""ו",93%
אבעבועות רוח-VAR,כחל,80%
אבעבועות רוח-VAR,יציץ,69%
אבעבועות רוח-VAR,יד נתן,61%
אבעבועות רוח-VAR,הסוללים,95%
אבעבועות רוח-VAR,היוגב,65%
אבעבועות רוח-VAR,גני יוחנן,64%
אבעבועות רוח-VAR,גנות הדר,63%
אבעבועות רוח-VAR,גבת,90%
אבעבועות רוח-VAR,בית לחם הגלילית,80%
אבעבועות רוח-VAR,בית אמר,100%
אבעבועות רוח-VAR,ביצרון,81%
אבעבועות רוח-VAR,באר טוביה,84%
אבעבועות רוח-VAR,אחיסמך,66%
אבעבועות רוח-VAR,אורות,79%
אבעבועות רוח-VAR,תלם,74%
אבעבועות רוח-VAR,שעל,71%
אבעבועות רוח-VAR,שכניה,63%
אבעבועות רוח-VAR,שורש,81%
אבעבועות רוח-VAR,ריחאניה,84%
אבעבועות רוח-VAR,קוממיות,72%
אבעבועות רוח-VAR,עשרת,70%
אבעבועות רוח-VAR,עין כרמל,77%
אבעבועות רוח-VAR,עזריה,78%
אבעבועות רוח-VAR,משמר איילון,86%
אבעבועות רוח-VAR,מעין ברוך,71%
אבעבועות רוח-VAR,מגל,80%
אבעבועות רוח-VAR,מבקיעים,81%
אבעבועות רוח-VAR,מבוא חמה,83%
אבעבועות רוח-VAR,לבנים,82%
אבעבועות רוח-VAR,כפר שמואל,71%
אבעבועות רוח-VAR,כפר עזה,82%
אבעבועות רוח-VAR,כפר חיים,67%
אבעבועות רוח-VAR,כפר גדעון,75%
אבעבועות רוח-VAR,חפץ חיים,83%
אבעבועות רוח-VAR,חדיד,66%
אבעבועות רוח-VAR,זיתן,69%
אבעבועות רוח-VAR,הדר עם,75%
אבעבועות רוח-VAR,גברעם,71%
אבעבועות רוח-VAR,בני עטרות,85%
אבעבועות רוח-VAR,בית גמליאל,69%
אבעבועות רוח-VAR,בטחה,78%
אבעבועות רוח-VAR,אלונים,76%
אבעבועות רוח-VAR,אלוני הבשן,58%
אבעבועות רוח-VAR,אבטליון,71%
אבעבועות רוח-VAR,תושיה,72%
אבעבועות רוח-VAR,שדמה,50%
אבעבועות רוח-VAR,שדה יצחק,70%
אבעבועות רוח-VAR,פקיעין חדשה,75%
אבעבועות רוח-VAR,עבדון,67%
אבעבועות רוח-VAR,ניר גלים,85%
אבעבועות רוח-VAR,נווה אילן,86%
אבעבועות רוח-VAR,להב,89%
אבעבועות רוח-VAR,כרמל,73%
אבעבועות רוח-VAR,יעד,100%
אבעבועות רוח-VAR,חפצי-בה,100%
אבעבועות רוח-VAR,חוסנייה,84%
אבעבועות רוח-VAR,זבדיאל,71%
אבעבועות רוח-VAR,הר עמשא,62%
אבעבועות רוח-VAR,גני הדר,38%
אבעבועות רוח-VAR,גזית,82%
אבעבועות רוח-VAR,בן זכאי,82%
אבעבועות רוח-VAR,בית עריף,72%
אבעבועות רוח-VAR,אבן ספיר,79%
אבעבועות רוח-VAR,תל עדשים,74%
אבעבועות רוח-VAR,שמשית,86%
אבעבועות רוח-VAR,רמת צבי,91%
אבעבועות רוח-VAR,עמיחי,65%
אבעבועות רוח-VAR,ניר עם,88%
אבעבועות רוח-VAR,נווה זיו,75%
אבעבועות רוח-VAR,משען,79%
אבעבועות רוח-VAR,משואה,88%
אבעבועות רוח-VAR,"מצפה אבי""ב",89%
אבעבועות רוח-VAR,מעין צבי,93%
אבעבועות רוח-VAR,כפר מרדכי,82%
אבעבועות רוח-VAR,כסלון,76%
אבעבועות רוח-VAR,כוכב מיכאל,72%
אבעבועות רוח-VAR,יפעת,87%
אבעבועות רוח-VAR,חולדה,78%
אבעבועות רוח-VAR,זרחיה,81%
אבעבועות רוח-VAR,זרועה,61%
אבעבועות רוח-VAR,גבעת ישעיהו,81%
אבעבועות רוח-VAR,בת חן,78%
אבעבועות רוח-VAR,בית אולה,33%
אבעבועות רוח-VAR,אשלים,88%
אבעבועות רוח-VAR,ארסוף,20%
אבעבועות רוח-VAR,שריגים (לי-און),91%
אבעבועות רוח-VAR,שפיר,73%
אבעבועות רוח-VAR,שני,71%
אבעבועות רוח-VAR,שואבה,70%
אבעבועות רוח-VAR,רמות,85%
אבעבועות רוח-VAR,עין חרוד (מאוחד),87%
אבעבועות רוח-VAR,עין גב,63%
אבעבועות רוח-VAR,נחלה,77%
אבעבועות רוח-VAR,נאות סמדר,50%
אבעבועות רוח-VAR,מחנה תל נוף,87%
אבעבועות רוח-VAR,כפר חיטים,86%
אבעבועות רוח-VAR,יטבתה,72%
אבעבועות רוח-VAR,חמאם,93%
אבעבועות רוח-VAR,זכריה,91%
אבעבועות רוח-VAR,גילון,82%
אבעבועות רוח-VAR,גונן,75%
אבעבועות רוח-VAR,גבעת יואב,82%
אבעבועות רוח-VAR,גבעת חיים (מאוחד),85%
אבעבועות רוח-VAR,בניה,57%
אבעבועות רוח-VAR,בית חנניה,89%
אבעבועות רוח-VAR,בארות יצחק,67%
אבעבועות רוח-VAR,אשכולות,38%
אבעבועות רוח-VAR,אלמגור,75%
אבעבועות רוח-VAR,אומן,81%
אבעבועות רוח-VAR,אדרת,71%
אבעבועות רוח-VAR,אבנת,64%
אבעבועות רוח-VAR,תקומה,93%
אבעבועות רוח-VAR,תובל,67%
אבעבועות רוח-VAR,שער העמקים,94%
אבעבועות רוח-VAR,שלוחות,76%
אבעבועות רוח-VAR,רקפת,82%
אבעבועות רוח-VAR,רוויה,81%
אבעבועות רוח-VAR,קרית נטפים,89%
אבעבועות רוח-VAR,"עין הנצי""ב",80%
אבעבועות רוח-VAR,עזריאל,70%
אבעבועות רוח-VAR,משמר דוד,73%
אבעבועות רוח-VAR,כפר מימון,89%
אבעבועות רוח-VAR,ינוב,73%
אבעבועות רוח-VAR,יחיעם,80%
אבעבועות רוח-VAR,חבצלת השרון,56%
אבעבועות רוח-VAR,העוגן,79%
אבעבועות רוח-VAR,אל-רום,75%
אבעבועות רוח-VAR,אירוס,91%
אבעבועות רוח-VAR,אביעזר,80%
אבעבועות רוח-VAR,תל תאומים,85%
אבעבועות רוח-VAR,שרשרת,82%
אבעבועות רוח-VAR,שדמות דבורה,64%
אבעבועות רוח-VAR,שדה צבי,61%
אבעבועות רוח-VAR,צורית,79%
אבעבועות רוח-VAR,ניצני סיני,56%
אבעבועות רוח-VAR,מכמנים,87%
אבעבועות רוח-VAR,כפר ורבורג,81%
אבעבועות רוח-VAR,"כפר הרי""ף",72%
אבעבועות רוח-VAR,יקום,75%
אבעבועות רוח-VAR,חצור-אשדוד,91%
אבעבועות רוח-VAR,חלוץ,100%
אבעבועות רוח-VAR,ח'רבתא אל-מצבאח,50%
אבעבועות רוח-VAR,האון,11%
אבעבועות רוח-VAR,דבירה,60%
אבעבועות רוח-VAR,"גבעת ח""ן",100%
אבעבועות רוח-VAR,גבעות בר,75%
אבעבועות רוח-VAR,בני דרור,92%
אבעבועות רוח-VAR,אורים,90%
אבעבועות רוח-VAR,אום אל-קוטוף,97%
אבעבועות רוח-VAR,אדמית,75%
אבעבועות רוח-VAR,תרקומיא,33%
אבעבועות רוח-VAR,תירוש,59%
אבעבועות רוח-VAR,שושנת העמקים,73%
אבעבועות רוח-VAR,שדה נחום,77%
אבעבועות רוח-VAR,שדה דוד,70%
אבעבועות רוח-VAR,רגבים,83%
אבעבועות רוח-VAR,רגבה,80%
אבעבועות רוח-VAR,פארן,90%
אבעבועות רוח-VAR,עמיעד,83%
אבעבועות רוח-VAR,עידן,80%
אבעבועות רוח-VAR,ניר דוד (תל עמל),69%
אבעבועות רוח-VAR,נווה מבטח,64%
אבעבועות רוח-VAR,מצפה אילן,72%
אבעבועות רוח-VAR,לוחמי הגיטאות,93%
אבעבועות רוח-VAR,לביא,83%
אבעבועות רוח-VAR,כנרת (קבוצה),67%
אבעבועות רוח-VAR,כנף,78%
אבעבועות רוח-VAR,כורזים,92%
אבעבועות רוח-VAR,חצבה,83%
אבעבועות רוח-VAR,חמדיה,92%
אבעבועות רוח-VAR,דגניה ב',70%
אבעבועות רוח-VAR,געתון,100%
אבעבועות רוח-VAR,גזר,82%
אבעבועות רוח-VAR,"גבעת ניל""י",82%
אבעבועות רוח-VAR,ג'נין,92%
אבעבועות רוח-VAR,בית קמה,100%
אבעבועות רוח-VAR,בית עוזיאל,76%
אבעבועות רוח-VAR,בית חירות,75%
אבעבועות רוח-VAR,אליפלט,82%
אבעבועות רוח-VAR,תלמי יחיאל,87%
אבעבועות רוח-VAR,שניר,82%
אבעבועות רוח-VAR,שדי תרומות,68%
אבעבועות רוח-VAR,רמת רחל,60%
אבעבועות רוח-VAR,רמת דוד,87%
אבעבועות רוח-VAR,פטיש,87%
אבעבועות רוח-VAR,ערוגות,80%
אבעבועות רוח-VAR,עבידיה,75%
אבעבועות רוח-VAR,ניר ישראל,73%
אבעבועות רוח-VAR,נטור,77%
אבעבועות רוח-VAR,נחשון,78%
אבעבועות רוח-VAR,נווה ירק,82%
אבעבועות רוח-VAR,משמר העמק,96%
אבעבועות רוח-VAR,מסדה,73%
אבעבועות רוח-VAR,מלכיה,88%
אבעבועות רוח-VAR,מחניים,90%
אבעבועות רוח-VAR,מגשימים,81%
אבעבועות רוח-VAR,כפר חסידים א',75%
אבעבועות רוח-VAR,כפר אביב,85%
אבעבועות רוח-VAR,חרמש,70%
אבעבועות רוח-VAR,חלמיש,87%
אבעבועות רוח-VAR,המעפיל,89%
אבעבועות רוח-VAR,דור,61%
אבעבועות רוח-VAR,דבורה,73%
אבעבועות רוח-VAR,גדות,71%
אבעבועות רוח-VAR,בית נקופה,95%
אבעבועות רוח-VAR,בית לקיא,50%
אבעבועות רוח-VAR,בית הערבה,77%
אבעבועות רוח-VAR,אייל,72%
אבעבועות רוח-VAR,תלמי יפה,78%
אבעבועות רוח-VAR,תל קציר,74%
אבעבועות רוח-VAR,שקף,55%
אבעבועות רוח-VAR,שדה בוקר,78%
אבעבועות רוח-VAR,צוקי ים,33%
אבעבועות רוח-VAR,עוצם,91%
אבעבועות רוח-VAR,עגור,64%
אבעבועות רוח-VAR,"ניר ח""ן",80%
אבעבועות רוח-VAR,מנוחה,87%
אבעבועות רוח-VAR,יסעור,72%
אבעבועות רוח-VAR,טיבה-ראמאללה,100%
אבעבועות רוח-VAR,חמרה,80%
אבעבועות רוח-VAR,דהיישה,100%
